Policy                   , step, provider  , model              , used_fallback, reason                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , operator_instruction                                          , lambda_delay        , lambda_migration  , lambda_resource    , lambda_balance      , migrate_threshold, cooldown_steps
llm_cost_aware_openrouter,    1, openrouter, openai/gpt-5.4-mini, False        , 当前迁移率、平均迁移次数、失败分配和时延均为0，节点负载也为0，说明暂时没有资源压力；但运维指令明确要求抑制频繁迁移、保持稳定。因此本次主要增强迁移抑制：提高lambda_migration并适度上调cooldown_steps和migrate_threshold，同时略微下调lambda_delay与lambda_balance，避免在当前无压力阶段过度触发迁移，优先保持系统稳定有序。                                                                                                                                                                                                     , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.22                , 0.48              , 0.2                , 0.1                 ,             0.12 ,              3
llm_cost_aware_openrouter,    6, openrouter, openai/gpt-5.4-mini, False        , 近期迁移率不高但平均时延较高、失败分配率较高，同时节点4负载偏高且最大负载明显高于均值，说明存在一定资源压力与局部拥塞；但运维指令要求抑制频繁迁移、保持稳定，且当前冷却占比已达0.27，因此本次主要增强迁移抑制与稳定性，适度提高资源与均衡权重，谨慎上调阈值和冷却步数以减少抖动。                                                                                                                                                                                                                                               , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.15625             , 0.53125           , 0.21875000000000003, 0.09375             ,             0.18 ,              4
llm_cost_aware_openrouter,   11, openrouter, openai/gpt-5.4-mini, False        , 当前迁移率较低(migration_rate_recent=0.04、avg_migrations_per_user_recent=0.2)，但失败分配率很高(failed_allocation_rate_recent=0.3467)且最大节点负载偏高(max_node_load=0.8733)，说明系统主要矛盾是资源紧张与局部拥塞；同时运维指令要求抑制频繁迁移、保持稳定。此次调参以增强迁移抑制和资源约束为主，适度提高lambda_migration与lambda_resource，并小幅提高migrate_threshold，cooldown_steps保持不变，避免进一步放大迁移波动。                                                                                                    , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.10881392818280738 , 0.5843307943416757, 0.23394994559303592, 0.07290533188248095 ,             0.22 ,              4
llm_cost_aware_openrouter,   16, openrouter, openai/gpt-5.4-mini, False        , 运维指令明确要求抑制频繁迁移、保持稳定；当前迁移率0.0933不算高，但平均每用户迁移0.4667且冷却中用户占比0.2，说明系统已有一定迁移抑制基础，适合进一步提高迁移惩罚与阈值以减少抖动。与此同时，平均时延36.83较高、失败分配率0.0933也偏高，且最大节点负载0.9115明显高于均值0.6927，说明资源压力与负载不均衡并存，因此适度提高resource和balance权重，避免过度抑制导致时延与分配失败继续恶化。cooldown_steps只小幅上调到5，用于增强稳定性，但避免与阈值同时大幅提高。                                                                  , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.08409658617818484 , 0.5995004163197335, 0.24146544546211487, 0.07493755203996669 ,             0.3  ,              5
llm_cost_aware_openrouter,   21, openrouter, openai/gpt-5.4-mini, False        , 近期迁移率较低(migration_rate_recent=0.0267、每用户迁移0.13)，但网络波动强且失败分配较多(failed_allocation_rate_recent=0.2)、平均时延偏高(avg_delay_recent≈29.9)，同时节点负载不均衡明显(max_node_load=0.9115，部分节点接近满载)。结合运维指令“优先抑制频繁迁移，保持稳定有序”，本次适度提高lambda_migration并略提高cooldown_steps与migrate_threshold，以增强迁移抑制、减少抖动；同时小幅提高lambda_resource和lambda_balance，兼顾资源紧张与负载不均衡，但不大幅放松迁移空间。                                                  , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.07258064516129031 , 0.6290322580645161, 0.22580645161290325, 0.07258064516129031 ,             0.34 ,              7
llm_cost_aware_openrouter,   26, openrouter, openai/gpt-5.4-mini, False        , 近期迁移率很低（0.0133）且每用户平均迁移次数也低，但平均时延较高（30.63）并伴随较高失败分配率（0.1733），说明当前以稳定为主但存在资源/时延压力；同时运维指令要求优先抑制频繁迁移、保持稳定有序。当前最大负载较高（0.9115），节点负载不均衡明显，因此适度提高lambda_migration以继续抑制抖动，略提高lambda_resource和lambda_balance以应对资源紧张与负载偏斜，并小幅提高lambda_delay保留时延敏感性。migrate_threshold和cooldown_steps仅做轻度上调，用于增强稳定性，但不大幅增加，以免在高时延和高失败分配背景下进一步压制必要迁移。, 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.06957250628667226 , 0.6202849958088851, 0.23470243084660522, 0.07544006705783737 ,             0.38 ,              8
llm_cost_aware_openrouter,   31, openrouter, openai/gpt-5.4-mini, False        , 近期平均时延较高且失败分配率偏高，但迁移率不高、每用户迁移次数也不高；同时当前冷却占比已达0.27，说明系统已存在一定迁移抑制。结合运维指令要求抑制频繁迁移、保持稳定，本次主要增强迁移抑制并略提高资源约束权重，维持较高阈值但不过度上调冷却时间；同时保留少量时延与负载均衡优化空间以应对最大节点高负载和资源紧张。                                                                                                                                                                                                              , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.0625              , 0.640625          , 0.21875000000000003, 0.078125            ,             0.46 ,              9
llm_cost_aware_openrouter,   36, openrouter, openai/gpt-5.4-mini, False        , 近期平均时延较高，但当前迁移率不高且平均每用户迁移次数较低；运维指令明确要求抑制频繁迁移、保持稳定，因此本次优先增强迁移抑制。考虑到失败分配率偏高、最大节点负载接近0.8，资源约束仍需关注，但当前更适合以稳定为主，适度提高时延权重并略提高迁移代价与阈值，冷却步数小幅增加以减少抖动；同时不继续大幅抬高冷却，避免在已有较高冷却占比下进一步压制必要迁移。                                                                                                                                                                     , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.06550218340611354 , 0.6899563318777293, 0.1834061135371179 , 0.061135371179039305,             0.53 ,             10
llm_cost_aware_openrouter,   41, openrouter, openai/gpt-5.4-mini, False        , 当前平均时延较高且失败分配率偏高，同时最大节点负载接近饱和，说明存在资源压力和局部拥塞；但迁移率、每用户迁移次数并不低，且冷却用户占比已很高。结合“优先抑制频繁迁移、保持稳定”的指令，本次适度提高lambda_migration和cooldown_steps以增强迁移抑制，同时小幅提高lambda_delay、lambda_resource和lambda_balance以兼顾时延、资源与负载均衡；migrate_threshold仅小幅上调，避免在高失败分配背景下过度抑制必要迁移。                                                                                                                    , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.066147859922179   , 0.6848249027237354, 0.1867704280155642 , 0.06225680933852141 ,             0.62 ,             12
llm_cost_aware_openrouter,   46, openrouter, openai/gpt-5.4-mini, False        , 近期迁移率为0且每用户平均迁移次数为0，但平均时延较高、失败分配率较高，说明当前不是迁移过多而是迁移抑制偏强；同时用户冷却占比已达0.47，不宜继续增加频繁迁移，只能在稳定前提下适度释放空间。结合运维指令强调抑制频繁迁移与保持稳定，本次主要增强迁移抑制：提高lambda_migration并上调阈值、冷却步数；同时因失败分配率高且最大节点负载偏高，适度提高lambda_resource，lambda_delay维持较低而略调低，lambda_balance保持较低不做激进均衡。                                                                                             , 当前网络波动较强，请优先抑制频繁迁移，保持系统整体稳定与有序。, 0.03968253968253969 , 0.7301587301587302, 0.19047619047619047, 0.03968253968253969 ,             0.78 ,             14
